cities;code_com;traffic_dir;level_0;index;Web_Adult;Tor;YouTube;c;pop;Tor_to_darknet_share;Pornography_in_darknet_URL_share;Child_pornography_to_pornography_in_darknet_URL_share;cpc;cpc_per_1000;log_cpc;log_cpc_per_1000;yt_per_1000;wa_per_1000;tor_per_1000;log_yt_per_1000;log_wa_per_1000;log_tor_per_1000;sv_19;sv_17_21;sv_com_19;sv_com_17_21
Bordeaux;33143;DL;1368648205;1368648205;370695.0;2262.0;37903257.0;0.00024980150891636496;2422;11;0.41705436279529645;0.4150197628458498;0.5650510131688176;0.2332993448261014;-0.5708392631171166;-0.2356892085537228;15649569.364161849;153053.2617671346;933.9388934764658;7.205015525613449;5.294440504150362;3.189101840080952;0.781463555819974;0.7813523831204224;;
Bordeaux;33162;DL;1377409980;1377409980;948304472.0;32190405.0;80660205651.0;0.0012794693912276487;23120;11;0.41705436279529645;0.4150197628458498;41186.63788872146;1781.4289744256687;10.625869159644225;0.45959641693962905;3488763220.1989617;41016629.4117647;1392318.555363322;1.0862245318335493;0.8940391947080479;0.7477153540113715;0.530872263966024;0.8129197853692031;0.530872263966024;0.8129197853692031
Bordeaux;33167;DL;1379485960;1379485960;1120433400.0;63129288.0;60579227263.0;0.0016488623611196358;17182;11;0.41705436279529645;0.4150197628458498;104091.50686748148;6058.17174179266;11.553025664987317;0.6723912038754113;3525737822.3140497;65209719.473868005;3674152.485158887;1.444955062671326;1.2127215348438924;1.0453204150835536;0.49502227600242;0.8685987438741961;0.49502227600242;0.8685987438741961
Bordeaux;33192;DL;1375475607;1375475607;1011432891.0;29867733.0;65920439155.0;0.001216126694970221;25563;11;0.41705436279529645;0.4150197628458498;36322.947419543;1420.9188052866643;10.500204980841767;0.4107579306357535;2578744245.7849236;39566282.948010795;1168397.0191292102;0.9745223324517526;0.8111189557700708;0.6733282201527484;0.544874289717444;0.6308098206489909;0.544874289717444;0.6308098206489909
Bordeaux;33200;DL;1375163433;1375163433;722069513.0;7042065.0;42382691249.0;0.0009572205213101211;10886;11;0.41705436279529645;0.4150197628458498;6740.809130399758;619.2181821054343;8.815935245721782;0.8098415621644114;3893320893.7167006;66330104.0786331;646891.879478229;2.247841805123854;1.873749032759139;1.4484119060248786;0.781463555819974;0.7921588624489699;;1.12388691968531
Bordeaux;33234;DL;1376850877;1376850877;23457787.0;1645434.0;1888553689.0;0.0012634037868255673;3425;11;0.41705436279529645;0.4150197628458498;2078.8475465715405;606.9627873201579;7.639568954996805;2.230531081750892;551402536.9343066;6848988.905109488;480418.68613138684;6.236226899023075;4.954952719989602;4.179128390415149;0.781463555819974;0.7813523831204224;;
Bordeaux;33238;DL;1373371545;1373371545;10041430.0;640075.0;665877628.0;0.0008689087887239235;10282;11;0.41705436279529645;0.4150197628458498;556.1667929424653;54.09130450714505;6.321068236569979;0.6147703011641684;64761488.81540556;976602.8010114763;62251.993775530056;1.975940135176069;1.5680052608796455;1.3002665469723726;0.781463555819974;0.7813523831204224;;
Bordeaux;33249;DL;1378270164;1378270164;1273017318.0;16657443.0;66596605767.0;0.0015119306450141706;23247;11;0.41705436279529645;0.4150197628458498;25184.898539276783;1083.3612310954868;10.133999829554474;0.43592720908308485;2864739784.359272;54760498.90308427;716541.6182733256;1.07204884280701;0.9018219882356426;0.7152909064193634;1.20788576851732;0.9944235207532337;1.20788576851732;0.9944235207532337
Bordeaux;33256;DL;1374916908;1374916908;8994919.0;142565.0;475151283.0;0.0007454923387252043;4607;11;0.41705436279529645;0.4150197628458498;106.28111527035875;23.06948453882326;4.666087614535828;1.0128256163524696;103136809.85456914;1952446.0603429563;30945.300629476882;4.336692815675687;3.4756176297641517;2.575982920564648;0.781463555819974;0.7813523831204224;;
Bordeaux;33262;DL;1363931535;1363931535;231110.0;1637.0;8734455.0;6.735398698210511e-05;4133;11;0.41705436279529645;0.4150197628458498;0.11025847668970606;0.02667758932729399;-2.204927881536333;-0.5334933175747236;2113345.0278248247;55918.219211226715;396.0803290587951;3.867114954495678;2.9883012500937376;1.790617124938576;0.781463555819974;0.7813523831204224;;
Bordeaux;33273;DL;1376207118;1376207118;221660188.0;14901827.0;18324454873.0;0.0007271898904302852;7302;11;0.41705436279529645;0.4150197628458498;10836.457943341065;1484.0397073871632;9.290671463602244;1.2723461330597432;2509511760.202684;30356092.57737606;2040787.0446453025;3.2363054418727693;2.631697628383625;2.2619822488151806;0.781463555819974;0.7813523831204224;;
Bordeaux;33281;DL;1380347136;1380347136;5164706253.0;207141060.0;331740814374.0;0.0016341294803787155;70317;11;0.41705436279529645;0.4150197628458498;338495.3127428963;4813.847472771824;12.732265524097963;0.18106952122670142;4717789643.670805;73448899.31311062;2945817.654336789;0.3772575596424408;0.31806126634095083;0.27232263276908675;0.58174162361317;0.6848336335837407;0.58174162361317;0.6848336335837407
